Anomala albopilosa
Anomaloglossus stepheni
Anomia ephippium
Anomis erosa
Anonyx nugax
Anonyx sarsi
Anoplagonus inermis
Anoplodactylus virescens
Anoplogaster cornuta
Anoplolepis gracilipes
Anoplopoma fimbria
Anorthodes tarda
Anoscopus flavostriatus
Anoscopus serratulae
Anoteropsis litoralis
Anotopterus nikparini
Anotopterus pharao
Anotylus hamatus
Anotylus insecatus
Anotylus intricatus
Anotylus inustus
Anotylus rugosus
Anotylus sculpturatus
Anotylus tetracarinatus
Anoxycalyx joubini
Antaeotricha leucillana
Antalis entalis
Antarctinoe spicoides
Antarctomysis maxima
Antarcturus polaris
Antaresia maculosa
Antechinomys laniger
Antennablennius bifilum
Antennarius multiocellatus
Antennarius pictus
Antennarius striatus
Antepione thisoaria
Antestiopsis notia
Anthias anthias
Anthicus antherinus
Anthicus flavipes
Antho involvens
Anthocomus rufus
Anthomastus bathyproctus
Anthometrina adriani
Anthopleura Krebsi
Anthopleura artemisia
Anthopleura ballii
Anthopleura sola
Anthoxanthum odoratum
Anthriscus sylvestris
Anthus cinnamomeus
Anthus hodgsoni
Anthus spinoletta
Anthus trivialis
Anticarsia gemmatalis
Antigonia capros
Antigonia rubescens
Antipathes galapagensis
Antipodophlebia asthenes
Antistea elegans
Anuraeopsis fissa
Anurida maritima
Anurida pygmaea
Anuropus antarcticus
Anuropus pacificus
Anyphaena accentuata
Anyphaena pectorosa
Aonides oxycephala
Apalone ferox
Apamea amputatrix
Apamea devastator
Apamea plutonia
Aparallactus capensis
Aparallactus werneri
Apeltes quadracus
Aphelenchoides parietinus
Aphelocheirus aestivalis
Aphelocoma californica
Apherusa bispinosa
Apherusa jurinei
Aphia minuta
Aphis nerii
Aphodius fimetarius
Aphomia terrenella
Aphredoderus sayanus
Aphrodes bicincta
Aphrodes makarovi
Aphrodita aculeata
Aphthona lutescens
Aphthona nigriceps
Aphyocharax alburnus
Apiomerus spissipes
Apion cruentatum
Apion frumentarium
Apis mellifera
Apistosia judas
Aplidium lubricum
Aplidium vastum
Aplocheilus panchax
Aplodinotus grunniens
Aplysia californica
Aplysia dactylomela
Aplysia punctata
Aplysia vaccaria
Aplysina fistularis
Aplysina fulva
Apocorophium lacustre
Apodemus agrarius
Apodemus argenteus
Apodemus flavicollis
Apodemus mystacinus
Apodemus speciosus
Apodemus sylvaticus
Apogon dovii
Apogonops anomalus
Aporcelaimellus obtusicaudatus
Aporrectodea caliginosa
Aporrectodea rosea
Aporrhais pespelecani
Apostenus fuscus
Apostichopus californicus
Apostolepis assimilis
Apostolepis multicincta
Aprasia repens
Aprasia striolata
Apsectrotanypus trifascipennis
Apseudes acutifrons
Apseudopsis latreillii
Aptenodytes patagonicus
Apteronotus albifrons
Apteronotus bonapartii
Aptocyclus ventricosus
Araeoncus humilis
Aramides ypecaha
Aramus guarauna
Araneus diadematus
Araneus pallidus
Araneus thaddeus
Araniella cucurbitina
Arapaima gigas
Aratinga cactorum
Aratus pisonii
Arbacia punctulata
Arca zebra
Archerella flavum
Archichauliodes diversus
Archidoris pseudoargus
Archilestes grandis
Archilochus colubris
Archips cerasivorana
Archips semiferanus
Archipsocus panama
Architeuthis dux
Archosargus probatocephalus
Archosargus rhomboidalis
Arcopagia fausta
Arctia festiva
Arctica islandica
Arctocephalus forsteri
Arctocephalus gazella
Arctocephalus pusillus
Arctocorisa germari
Arctogadus glacialis
Arctogalidia trivirgata
Arctopsyche ladogensis
Arctosa leopardus
Arctosa lutetiana
Arctoseius magnanalis
Arctozenus risso
Arcturus baffini
Ardea alba
Ardea herodias
Arenaeus cribrarius
Arenicola marina
Arenigobius frenatus
Argas radiatus
Argenna subnigra
Argentina elongata
Argentina silus
Argentina sphyraena
Argia fumipennis
Argia immunda
Argia moesta
Argia sedula
Argia tibialis
Argia translata
Argiope aetherea
Argiope argentata
Argiope aurantia
Argiope bruennichi
Argiope catenulata
Argiope trifasciata
Argis crassa
Argis ovifer
Argissa hamatipes
Argonauta argo
Argonauta nodosa
Argopecten irradians
Argynnis paphia
Argyra vestita
Argyresthia alternatella
Argyresthia aurulentella
Argyresthia canadensis
Argyresthia thuiella
Argyripnus brocki
Argyrodes nephilae
Argyrogena fasciolata
Argyroneta aquatica
Argyropelecus aculeatus
Argyropelecus hemigymnus
Argyropelecus olfersii
Argyrophis diardii
Argyrops spinifer
Argyrosomus hololepidotus
Argyrosomus inodorus
Argyrosomus japonicus
Argyrosomus thorpei
Argyrotaenia quercifoliana
Argyrotome alba
Argyrozona argyrozona
Ariadna arthuri
Aricidea catherinae
Aricidea suecica
Arigomphus cornutus
Arigomphus pallidus
Arigomphus submedianus
Arilus cristatus
Ariomma bondi
Arion ater
Arion distinctus
Arion silvaticus
Arion subfuscus
Ariopsis felis
Aristeus antennatus
Aristotelia roseosuffusella
Arius maculatus
Arizona elegans
Armadillidium opacum
Armadillidium pictum
Armadillidium vulgare
Armadillogorgia cyathella
Armases cinereum
Armina californica
Arnoglossus imperialis
Arnoglossus laterna
Arotrolepis filicauda
Arremonops rufivirgatus
Arrhenatherum elatius
Arrhis phyllonyx
Arrhopalites pygmaeus
Arripis georgianus
Arripis trutta
Arripis truttacea
Artedidraco lonnbergi
Artedidraco orianae
Artediellus europeus
Artediellus uncinatus
Artedius fenestralis
Artemesia longinaris
Arthaldeus pascuellus
Arthrocnemum subterminale
Arthroleptis stenodactylus
Arthroleptis variabilis
Arthroleptis xenodactyloides
Arthroleptis xenodactylus
Arthrosaura reticulata
Artibeus jamaicensis
Artibeus obscurus
Arunta interclusa
Arvicanthis neumanni
Arvicola amphibius
Arvicola sapidus
Arytaina genistae
Arytainilla spartiophila
Asabellides oculata
Asaphidion flavipes
Asaphidion pallipes
Asca bicornis
Ascaphus truei
Ascia monuste
Ascidia challengeri
Ascidia interrupta
Asclepias curassavica
Asclepias linaria
Asclepias viridis
Ascomorpha ecaudis
Asellus aquaticus
Aslia lefevrei
Asperoteuthis lui
Aspidophoroides monopterygius
Aspidoptera falcata
Aspidoptera phyllostomatus
